Tape Size,Feeder Number,Component,Aliases,XOffset,YOffset,Height,Length,Width,Speed,Head,Relative Tape Angle,Feed Spacing,Place Component,Check Vacuum,Use Vision,Centroid Correction X,Centroid Correction Y,Manufacturer,Manufacturer Part Number,Distrubutor,Order Number
8mm,1,,,0,0,0.5,1.6,0.8,0,2,0,4,Y,Y,Y,0,0,,,,
8mm,2,100nF-C0805,0.1uF-0805:104-C0805,0,0,0.5,2,1.2,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,3,1uF-C0805,,0,0,0.5,2,1.2,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,4,4.7uF_16V-C0805,4.7uF-C0805,0,0,1.25,2,1.25,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,5,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,6,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,7,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,8,16MHz-RESONATOR,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,9,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,10,1k-R0805,,0,0,0.5,2,1.25,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,11,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,12,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,13,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,14,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,15,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,16,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,17,DIODE-SOD123,,0,0,0.5,1.6,0.8,0,1,0,4,N,Y,Y,0,0,,,,
8mm,18,,,0,0,0.5,1.6,0.8,0,1,0,4,N,Y,Y,0,0,,,,
8mm,19,,,0,0,0.5,1.6,0.8,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,20,,,0,0,0.5,1.6,0.8,0,1,0,4,N,Y,Y,0,0,,,,
8mm,21,GREEN-WL-SMCW_0805,GREEN-CHIPLED_0805,0,0,0.75,2,1.25,0,1,0,4,Y,Y,Y,0,0,,,,
8mm,22,BLUE-WL-SMCW_0805,BLUE-CHIPLED-0805,0,0,0.75,2,1.25,0,1,0,4,Y,Y,Y,0,0,,,,
12mm,23,,,,,,,,,,,,,,,,,,,,
12mm,24,,,,,,,,,,,,,,,,,,,,
12mm,25,,,,,,,,,,,,,,,,,,,,
12mm,26,,,,,,,,,,,,,,,,,,,,
16mm,27,USB-ZX62D-B-5PA8,,0,0,2,7.5,5,0,2,0,4,Y,Y,Y,0,0,,,,
16mm,28,LM1117,LM1117IMPX-5.0-LINEAR_SOT223,0,0,1.8,8.5,6.5,0,2,0,8,N,Y,Y,0,0,,,,
24mm,29,,,,,,,,,,,,,,,,,,,,
A 1-7,60,ATMEGA328P,ATMEGA328P-AU-TQFP32-08,-6.29,6.29,0.5,9,9,0,2,0,0,Y,Y,Y,0,0,,,,
B 1-6,61,CH340C-SOP-16,,-5.9,7.7,1.5,10,4,0,2,0,0,Y,Y,Y,0,0,,,,
A 1-2,90,,,,,,,,,,,,,,,,,,,,
A 3-4,91,,,,,,,,,,,,,,,,,,,,
A 5-7,92,,,,,,,,,,,,,,,,,,,,
B 1-2,93,,,,,,,,,,,,,,,,,,,,
B 3-4,94,,,,,,,,,,,,,,,,,,,,
B 5-6,95,,,,,,,,,,,,,,,,,,,,
-,96,,,,,,,,,,,,,,,,,,,,
-,97,,,,,,,,,,,,,,,,,,,,
-,98,,,,,,,,,,,,,,,,,,,,
-,99,,,,,,,,,,,,,,,,,,,,
Fiducial,1000,FIDUCIAL,FIDUCIALUFIDUCIAL-MICRO-FIDUCIAL,,,,,,,,,,,,,,,,,,
NoMount,0,No Mount,DNP-C0402S:DNP-R0402S,,,,,,,,,,N,,,,,,,,
NoMount,0,No Mount,DNP-TP-1.00MM,,,,,,,,,,N,,,,,,,,
NoMount,0,No Mount,MFFSMF050-R0805,,,,,,,,,,N,,,,,,,,
NoMount,0,No Mount,SPST-SMD-6.0X3.5MM-TACTILE_SWITCH_SMD_6.0X3.5MM,,,,,,,,,,N,,,,,,,,
Stop,,Stop,,,,,,,,,,,,,,,,,,,
